customer_id,days_since_last_purchase,total_orders,total_payment,cluster
1,263,2,1096.7,2
2,243,1,4378.05,0
3,194,1,3177.2,3
4,232,1,670.56,0
5,180,2,9667.220000000001,1
6,210,2,2558.37,1
7,228,2,4015.0,2
8,276,1,1650.96,0
9,174,1,1014.8,3
10,332,1,200.54,4
11,330,1,702.75,4
12,115,2,7197.81,1
13,151,1,1275.84,3
14,358,2,14851.970000000001,2
15,84,1,463.78,3
16,89,2,12224.119999999999,1
17,82,1,649.72,3
18,182,1,3430.04,3
19,225,1,716.13,0
20,384,1,408.6,4
21,148,2,2377.55,1
22,146,2,3889.2799999999997,1
23,242,1,685.2,0
24,127,2,6426.3,1
25,105,2,2490.21,1
26,231,1,2070.8,0
27,155,1,663.22,3
28,92,1,990.84,3
29,125,2,7278.96,1
30,189,1,2383.6,3
31,201,2,2895.73,1
32,369,2,12656.6,2
33,248,1,5882.8,0
34,228,2,3118.9700000000003,2
35,236,1,4158.66,0
36,153,2,13917.8,1
37,206,1,2000.15,0
38,271,1,1793.44,0
39,396,1,223.16,4
40,315,1,1265.22,0
41,355,2,6270.030000000001,2
42,331,1,1509.24,4
43,146,2,5736.53,1
44,152,1,518.12,3
45,135,1,4050.65,3
46,253,1,924.76,0
47,134,2,8537.55,1
48,395,1,3294.81,4
49,100,2,4569.62,1
50,395,2,3251.34,2
51,289,2,5007.3099999999995,2
52,224,1,4439.7,0
53,206,2,4393.76,1
54,331,1,3324.93,4
55,212,2,4810.38,1
56,193,2,3843.1,1
57,112,2,967.03,1
58,242,1,884.7,0
59,145,1,4315.68,3
60,271,1,2719.45,0
61,150,2,2091.6,1
62,306,2,6110.4400000000005,2
63,337,1,5060.82,4
64,153,2,4838.5199999999995,1
65,131,1,3614.52,3
66,151,1,5390.28,3
67,281,2,4580.81,2
68,306,2,6893.03,2
69,165,2,3688.52,1
70,207,1,3010.64,0
71,219,2,3784.58,2
72,259,1,1211.7,0
73,257,2,3913.17,2
74,144,2,13619.39,1
75,130,2,2415.5099999999998,1
76,364,1,277.3,4
77,306,1,4294.69,0
78,371,1,558.48,4
79,145,2,2437.47,1
80,102,2,2576.3100000000004,1
81,226,2,6906.8099999999995,2
82,91,1,1452.78,3
83,268,2,7348.07,2
84,374,1,205.47,4
85,284,2,1706.19,2
86,154,2,1145.56,1
87,128,1,1989.6,3
88,118,2,2769.13,1
89,179,2,5882.18,1
90,169,1,1205.44,3
91,155,2,2029.42,1
92,379,1,6506.78,4
93,396,1,891.64,4
94,174,1,4918.88,3
95,218,2,14058.54,2
96,107,1,515.28,3
97,166,2,10531.93,1
98,266,2,10538.46,2
99,282,1,107.13,0
100,82,1,5741.6,3
101,168,2,11917.099999999999,1
102,205,2,10468.86,1
103,120,2,1353.47,1
104,309,2,14922.63,2
105,173,2,3713.48,1
106,121,2,6154.74,1
107,262,1,550.75,0
108,234,2,9321.29,2
109,365,1,1947.5,4
110,205,1,1466.26,0
111,420,1,4246.68,4
112,146,2,12393.75,1
113,267,2,1579.08,2
114,215,2,7227.099999999999,1
115,129,1,575.19,3
116,303,1,1593.44,0
117,216,1,2903.21,0
118,378,1,5153.89,4
119,192,2,13426.84,1
120,159,1,5530.84,3
121,166,2,6954.16,1
122,210,1,706.98,0
123,367,1,7548.99,4
124,309,1,659.6,0
125,144,2,2160.61,1
126,101,2,6344.6,1
127,126,2,9072.560000000001,1
128,148,1,1858.92,3
129,262,2,6927.39,2
130,308,2,11946.6,2
131,297,1,501.4,0
132,221,2,8650.53,2
133,77,1,9737.45,3
134,380,2,9749.54,2
135,185,1,6203.3,3
136,122,1,3847.3,3
137,332,2,8329.48,2
138,123,1,3826.84,3
139,266,2,2523.77,2
140,113,1,2151.04,3
141,181,2,6447.5199999999995,1
142,169,1,914.92,3
143,308,2,7879.6,2
144,314,1,6961.76,0
145,193,1,9672.0,3
146,227,2,3856.7,2
147,184,2,3654.11,1
148,80,2,6302.98,1
149,413,1,784.05,4
150,98,2,12351.580000000002,1
151,135,2,2773.65,1
152,383,1,1549.65,4
153,392,1,2067.2,4
154,379,1,4672.2,4
155,324,1,4481.58,4
156,99,2,9503.92,1
157,146,2,10827.0,1
158,344,1,3424.84,4
159,218,2,10772.43,2
160,254,1,1249.2,0
161,206,1,3704.4,0
162,229,1,7234.47,0
163,267,1,435.55,0
164,431,1,1246.64,4
165,99,1,4591.62,3
166,242,2,7925.01,2
167,293,1,4568.08,0
168,95,1,363.61,3
169,113,1,291.9,3
170,122,2,5089.59,1
171,266,2,734.1400000000001,2
172,178,2,4689.05,1
173,248,2,3916.41,2
174,255,2,7019.54,2
175,373,2,8656.029999999999,2
176,90,1,1001.62,3
177,81,2,6069.84,1
178,168,1,8196.7,3
179,178,2,1669.73,1
180,263,1,4040.19,0
181,289,2,2694.8199999999997,2
182,411,1,1439.85,4
183,283,2,8629.82,2
184,83,2,5188.9400000000005,1
185,221,1,1748.52,0
186,362,1,1369.48,4
187,238,1,2612.05,0
188,183,1,202.22,3
189,82,2,1662.26,1
190,258,1,2327.8,0
191,157,1,823.07,3
192,273,2,1574.9299999999998,2
193,250,2,8911.87,2
194,111,2,3639.02,1
195,154,1,7132.41,3
196,175,2,1478.94,1
197,306,1,4066.2,0
198,213,1,1230.1,0
199,265,2,9550.859999999999,2
200,441,1,2064.24,4
201,91,2,8116.84,1
202,168,2,4344.94,1
203,280,1,1110.0,0
204,313,2,10111.66,2
